Time,User,Tweet
2022-04-27 14:45:00+00:00,ndmaindia,ndmaindia issu public notic regard file claim compens case death occur due covid pibhomeaffair pibindia kamalkishorein
2022-04-27 14:34:00+00:00,ndmaindia,heatwav know avoid heat wave
2022-04-27 14:03:00+00:00,ndmaindia,heatwav watch video know peopl resid hilli region protect heat wave
2022-04-27 13:33:00+00:00,ndmaindia,public notic regard order honbl suprem court date regard last date file claim compens case death due covid pibhomeaffair pibhindi kamalkishorin
2022-04-27 13:03:00+00:00,ndmaindia,rememb continu follow covid appropri behaviour covid vaccin indiafightscorona unitefightcorona
2022-04-27 12:35:00+00:00,ndmaindia,earthquak know staysaf outdoor earthquak
2022-04-27 12:03:00+00:00,ndmaindia,earthquak learn avoid earthquak
2022-04-27 11:35:00+00:00,ndmaindia,panic earthquak know earthquak
2022-04-27 11:02:00+00:00,ndmaindia,earthquak know staysaf indoor earthquak
2022-04-27 10:34:00+00:00,ndmaindia,earthquak follow dont ensur safeti earthquak
2022-04-27 09:55:47+00:00,ndmaindia,covid let unitefightcorona defeat coronavirus proper wear mask unitefightcorona wearamask
2022-04-27 09:35:45+00:00,ndmaindia,public notic regard order honbl suprem court date regard last date file claim compens case death due covid
2022-04-27 09:35:00+00:00,ndmaindia,firesafeti escap fire
2022-04-27 09:34:00+00:00,ndmaindia,smart stay safe follow covid compliant behavior time cleanli medicin strict win battl corona indiafightscorona unitefightcorona sourc mohfwindia
2022-04-27 09:05:00+00:00,ndmaindia,firesafeti fire safeti prepar note possibl escap aid
2022-04-27 08:34:00+00:00,ndmaindia,firesafeti fire safeti prepar
2022-04-27 08:24:24+00:00,ndmaindia,ndmaindia issu public notic regard file claim compens case death occur due covid
2022-04-27 07:05:00+00:00,ndmaindia,heatwav avoid harsh sun heat stroke take care avoid physic strenuous work afternoon
2022-04-27 06:33:00+00:00,ndmaindia,heatwav know protect anim heat stroke
2022-04-27 06:04:00+00:00,ndmaindia,heatwav know peopl live citi protect heat stroke
2022-04-27 05:32:00+00:00,ndmaindia,heatwav know stay healthi safe heatwav
2022-04-27 05:03:00+00:00,ndmaindia,tip protect children heatstrok
2022-04-27 04:34:00+00:00,ndmaindia,care old heatwav use tip
2022-04-27 04:04:41+00:00,ndmaindia,april weather warn sourc indiametdept heat wave condit part like vidarbha isol place uttarpradesh rajasthan madhyapradesh bihar jharkhand westbeng sikkim interior odisha gujarat state telangana
2022-04-27 04:04:41+00:00,ndmaindia,april weather warn sourc indiametdept heavi rainfal isol place like assam meghalaya arunachalpradesh
2022-04-27 04:04:40+00:00,ndmaindia,april weather warn sourc ndindiametdept lightn isol place arunachalpradesh konkan goa madhya maharashtra marathwada south chhattisgarh karnataka kerala mahe
2021-07-22 04:25:09+00:00,DisasterState,team nation disast respons forc ndrf dispatch chiplun relief rescu oper mahadgipr
2021-07-11 05:47:33+00:00,DisasterState,accord inform receiv cncsearthquak magnitud earthquak record sadhunagar area accord inform receiv concern author loss life properti report tremor felt area
2021-05-17 06:35:04+00:00,DisasterState,honbl deputi chief minist jitajitpawarspeak visit control room ministri took stock rain along strong wind state well hous tree fallen incid damag inform administr situat storm prone district
2021-05-16 06:27:56+00:00,DisasterState,weather bulletin
2021-03-23 02:46:15+00:00,DisasterState,chairmanship disast manag relief rehabilit minist jayvijaywadettiwar review work like underground power line salin dam etc coastal district worldbank assist nation cyclon risk reduct project instruct complet work within prescrib time
2021-02-23 05:51:46+00:00,DisasterState,congratul honbl minist vijaywadettiwarji omnavalihalkar outstand perform field emerg servic omkar ministri control room offic isdisasterst antmantralayaroom instrument mani emerg state
2021-02-18 11:29:01+00:00,DisasterState,
2021-02-18 11:28:43+00:00,DisasterState,
2021-02-18 11:28:28+00:00,DisasterState,
2021-02-13 07:49:01+00:00,DisasterState,rs crore distribut state govern peopl whose hous damag crop damag due cyclon cyclon hailstorm unseason rain natur cyclon ndmaindia disastermanag flood nisargcyclon fightagainstnaturaldisast samargatha
2020-12-30 07:47:37+00:00,DisasterState,eas restrict phasewis open lockdown mission begin date th decemb cmomaharashtra ndmaindia mantralayaroom
2020-12-11 03:01:49+00:00,DisasterState,light shower mumbai surround area night earli morn shower spars place light shower raigad thane palghar mantralayaroom antmantralayaroom
2020-10-14 07:46:59+00:00,DisasterState,pls note
2020-09-23 15:08:20+00:00,DisasterState,pleas note
2020-09-23 03:02:06+00:00,DisasterState,respons indian meteorolog depart warn torrenti rain bmc call closur offic establish etc except essenti servic citizen leav home necessari mumbairain
2020-08-29 13:17:50+00:00,DisasterState,moment ongo rescu oper kamathi nagpur behalf n ndrf disast servic alway work breath life young men save live thousand women old young everi day ndmaindia cmomaharashtra ndrfhq ndrf satyaprad mahadgipr
2020-08-24 13:54:01+00:00,DisasterState,team nation disast respons forc ndrf dispatch search rescu oper kajalpura tal mahad district raigad cmomaharashtra mahadgipr olcollectorraigad inforaigad raigadpolic
2020-08-11 03:59:29+00:00,DisasterState,discuss honbl prime minist honbl chief minist video conferenc
2020-08-07 14:24:22+00:00,DisasterState,tribut indian arm forc coronawarrior disasterst mantralayaroom dgpmaharashtra
2020-08-05 17:54:19+00:00,DisasterState,rainupd infodivkolhapur infokolhapurhattap tcocorsijmtarf
2020-08-05 17:52:40+00:00,DisasterState,rainupd infodivkolhapur infokolhapurhattap tcootubbkhfq
2020-08-05 17:47:20+00:00,DisasterState,honbl minist disast manag relief rehabilit vijaywadettiwar visit ministri control room
2020-08-05 09:25:01+00:00,DisasterState,intens develop seen west coast monsoon vigar north konkan mumbai thane raigad palghar ghat area maharashtra also recv extrem heavi rf next hrs mumbai alreadi record rf mm last hrs possibl flood citi suburb
2020-08-05 01:09:13+00:00,DisasterState,weatherforecast mantralayaroom mahadgipr
2020-08-04 04:52:34+00:00,DisasterState,scatter hvi hvi extrem hvi rainfal mumbai around last hrs red alert next hrs extrem hvi rain warn continu mumbai thane raigad palghar south konkan heavi rain warn hrs interior maharashtra also hvi rainfal warn
2020-08-04 04:46:49+00:00,DisasterState,tide inform mumbairain mumbaimonsoon mantralayaroom mahadgipr
2020-08-04 03:17:16+00:00,DisasterState,rainupd mantralayaroom mahadgipr
2020-08-04 03:14:28+00:00,DisasterState,mumbairainsl
2020-08-04 03:05:20+00:00,DisasterState,central railway updat kind note mantralayaroom mahadgipr
